"subject","condition","cond_order","stage_order","withinStage_order","stage","frequency","duration","rating","adjustedDur","adjustedNum"
"20","NF008D0450",3,1,3,"N","8","450",-8,"No","Yes"
"20","NF024D1350",4,1,4,"N","24","1350",-7,"Yes","No"
"20","NF024D0150",5,1,5,"N","24","150",-7,"Yes","No"
"20","NF072D0450",6,1,6,"N","72","450",-8,"No","Yes"
"20","NF072D0150",7,1,7,"N","72","150",-6,"Yes","Yes"
"20","NF000D0450",8,1,8,"N","0","0",-8,"No","No"
"20","ZF024D1350",9,2,1,"Z","24","1350",5,"Yes","No"
"20","ZF072D0150",10,2,2,"Z","72","150",6,"Yes","Yes"
"20","ZF072D0450",11,2,3,"Z","72","450",-3,"No","Yes"
"20","ZF008D0450",12,2,4,"Z","8","450",6,"No","Yes"
"20","ZF024D0150",13,2,5,"Z","24","150",7,"Yes","No"
"20","ZF000D0450",14,2,6,"Z","0","0",6,"No","No"
"20","ZF024D0450",15,2,7,"Z","24","450",8,"No","No"
"20","ZF008D1350",16,2,8,"Z","8","1350",6,"Yes","Yes"
"20","PF072D0150",17,3,1,"P","72","150",9,"Yes","Yes"
"20","PF072D0450",18,3,2,"P","72","450",9,"No","Yes"
"20","PF008D0450",19,3,3,"P","8","450",9,"No","Yes"
"20","PF024D0150",20,3,4,"P","24","150",9,"Yes","No"
"20","PF024D1350",21,3,5,"P","24","1350",9,"Yes","No"
"20","PF008D1350",22,3,6,"P","8","1350",9,"Yes","Yes"
"20","PF024D0450",23,3,7,"P","24","450",9,"No","No"
"20","PF000D0450",24,3,8,"P","0","0",9,"No","No"
"21","PF000D0450",1,1,1,"P","0","0",8,"No","No"
"21","PF072D0150",2,1,2,"P","72","150",7,"Yes","Yes"
"21","PF008D0450",3,1,3,"P","8","450",5,"No","Yes"
"21","PF024D0450",4,1,4,"P","24","450",7,"No","No"
"21","PF008D1350",5,1,5,"P","8","1350",6,"Yes","Yes"
"21","PF072D0450",6,1,6,"P","72","450",9,"No","Yes"
"21","PF024D0150",7,1,7,"P","24","150",6,"Yes","No"
"21","PF024D1350",8,1,8,"P","24","1350",7,"Yes","No"
"21","ZF072D0450",9,2,1,"Z","72","450",3,"No","Yes"
"21","ZF024D0150",10,2,2,"Z","24","150",-1,"Yes","No"
"21","ZF000D0450",11,2,3,"Z","0","0",-3,"No","No"
"21","ZF024D0450",12,2,4,"Z","24","450",-2,"No","No"
"21","ZF024D1350",13,2,5,"Z","24","1350",0,"Yes","No"
"21","ZF008D0450",14,2,6,"Z","8","450",-2,"No","Yes"
"21","ZF008D1350",15,2,7,"Z","8","1350",-4,"Yes","Yes"
"21","ZF072D0150",16,2,8,"Z","72","150",4,"Yes","Yes"
"21","NF072D0450",17,3,1,"N","72","450",2,"No","Yes"
"21","NF000D0450",18,3,2,"N","0","0",-8,"No","No"
"21","NF024D0150",19,3,3,"N","24","150",-5,"Yes","No"
"21","NF008D0450",20,3,4,"N","8","450",-6,"No","Yes"
"21","NF072D0150",21,3,5,"N","72","150",2,"Yes","Yes"
"21","NF024D0450",22,3,6,"N","24","450",-3,"No","No"
"21","NF024D1350",23,3,7,"N","24","1350",-4,"Yes","No"
"21","NF008D1350",24,3,8,"N","8","1350",-7,"Yes","Yes"
"22","ZF008D1350",1,1,1,"Z","8","1350",-1,"Yes","Yes"
"22","ZF008D0450",2,1,2,"Z","8","450",4,"No","Yes"
"22","ZF072D0150",3,1,3,"Z","72","150",-3,"Yes","Yes"
"22","ZF072D0450",4,1,4,"Z","72","450",-5,"No","Yes"
"22","ZF024D1350",5,1,5,"Z","24","1350",-1,"Yes","No"
"22","ZF024D0450",6,1,6,"Z","24","450",5,"No","No"
"22","ZF000D0450",7,1,7,"Z","0","0",-1,"No","No"
"22","ZF024D0150",8,1,8,"Z","24","150",4,"Yes","No"
"22","PF000D0450",9,2,1,"P","0","0",9,"No","No"
"22","PF008D0450",10,2,2,"P","8","450",9,"No","Yes"
"22","PF024D1350",11,2,3,"P","24","1350",4,"Yes","No"
"22","PF072D0450",12,2,4,"P","72","450",6,"No","Yes"
"22","PF024D0150",13,2,5,"P","24","150",4,"Yes","No"
"22","PF008D1350",14,2,6,"P","8","1350",3,"Yes","Yes"
"22","PF024D0450",15,2,7,"P","24","450",4,"No","No"
"22","PF072D0150",16,2,8,"P","72","150",4,"Yes","Yes"
"22","NF008D0450",17,3,1,"N","8","450",-4,"No","Yes"
"22","NF024D0450",18,3,2,"N","24","450",-4,"No","No"
"22","NF008D1350",19,3,3,"N","8","1350",-8,"Yes","Yes"
"22","NF000D0450",20,3,4,"N","0","0",-7,"No","No"
"22","NF024D1350",21,3,5,"N","24","1350",-5,"Yes","No"
"22","NF072D0150",22,3,6,"N","72","150",-6,"Yes","Yes"
"22","NF072D0450",23,3,7,"N","72","450",-9,"No","Yes"
"22","NF024D0150",24,3,8,"N","24","150",-6,"Yes","No"
"23","NF008D1350",1,1,1,"N","8","1350",-9,"Yes","Yes"
"23","NF024D0450",2,1,2,"N","24","450",-8,"No","No"
"23","NF000D0450",3,1,3,"N","0","0",-8,"No","No"
"23","NF008D0450",4,1,4,"N","8","450",-9,"No","Yes"
"23","NF072D0450",5,1,5,"N","72","450",-8,"No","Yes"
"23","NF024D0150",6,1,6,"N","24","150",-7,"Yes","No"
"23","NF072D0150",7,1,7,"N","72","150",-8,"Yes","Yes"
"23","NF024D1350",8,1,8,"N","24","1350",-6,"Yes","No"
"23","PF072D0150",9,2,1,"P","72","150",9,"Yes","Yes"
"23","PF008D1350",10,2,2,"P","8","1350",-2,"Yes","Yes"
"23","PF000D0450",11,2,3,"P","0","0",8,"No","No"
"23","PF008D0450",12,2,4,"P","8","450",4,"No","Yes"
"23","PF024D1350",13,2,5,"P","24","1350",3,"Yes","No"
"23","PF024D0150",14,2,6,"P","24","150",4,"Yes","No"
"23","PF024D0450",15,2,7,"P","24","450",2,"No","No"
"23","PF072D0450",16,2,8,"P","72","450",1,"No","Yes"
"23","ZF024D1350",17,3,1,"Z","24","1350",-3,"Yes","No"
"23","ZF024D0150",18,3,2,"Z","24","150",-6,"Yes","No"
"23","ZF072D0150",19,3,3,"Z","72","150",2,"Yes","Yes"
"23","ZF072D0450",20,3,4,"Z","72","450",-2,"No","Yes"
"23","ZF024D0450",21,3,5,"Z","24","450",1,"No","No"
"23","ZF008D0450",22,3,6,"Z","8","450",2,"No","Yes"
"23","ZF000D0450",23,3,7,"Z","0","0",3,"No","No"
"23","ZF008D1350",24,3,8,"Z","8","1350",3,"Yes","Yes"
"24","ZF024D0150",1,1,1,"Z","24","150",-3,"Yes","No"
"24","ZF024D1350",2,1,2,"Z","24","1350",4,"Yes","No"
"24","ZF008D1350",3,1,3,"Z","8","1350",-2,"Yes","Yes"
"24","ZF000D0450",4,1,4,"Z","0","0",-5,"No","No"
"24","ZF072D0450",5,1,5,"Z","72","450",6,"No","Yes"
"24","ZF008D0450",6,1,6,"Z","8","450",-1,"No","Yes"
"24","ZF072D0150",7,1,7,"Z","72","150",4,"Yes","Yes"
"24","ZF024D0450",8,1,8,"Z","24","450",0,"No","No"
"24","NF000D0450",9,2,1,"N","0","0",-9,"No","No"
"24","NF072D0150",10,2,2,"N","72","150",-1,"Yes","Yes"
"24","NF024D0150",11,2,3,"N","24","150",-8,"Yes","No"
"24","NF008D0450",12,2,4,"N","8","450",-9,"No","Yes"
"24","NF072D0450",13,2,5,"N","72","450",6,"No","Yes"
"24","NF024D1350",14,2,6,"N","24","1350",-6,"Yes","No"
"24","NF008D1350",15,2,7,"N","8","1350",-4,"Yes","Yes"
"24","NF024D0450",16,2,8,"N","24","450",-5,"No","No"
"24","PF024D1350",17,3,1,"P","24","1350",4,"Yes","No"
"24","PF072D0150",18,3,2,"P","72","150",6,"Yes","Yes"
"24","PF000D0450",19,3,3,"P","0","0",7,"No","No"
"24","PF024D0450",20,3,4,"P","24","450",7,"No","No"
"24","PF024D0150",21,3,5,"P","24","150",8,"Yes","No"
"24","PF008D1350",22,3,6,"P","8","1350",3,"Yes","Yes"
"24","PF072D0450",23,3,7,"P","72","450",9,"No","Yes"
"24","PF008D0450",24,3,8,"P","8","450",6,"No","Yes"
"25","NF008D1350",1,1,1,"N","8","1350",-7,"Yes","Yes"
"25","NF072D0450",2,1,2,"N","72","450",-8,"No","Yes"
"25","NF024D0150",3,1,3,"N","24","150",-8,"Yes","No"
"25","NF000D0450",4,1,4,"N","0","0",1,"No","No"
"25","NF072D0150",5,1,5,"N","72","150",-5,"Yes","Yes"
"25","NF024D1350",6,1,6,"N","24","1350",-5,"Yes","No"
"25","NF024D0450",7,1,7,"N","24","450",-7,"No","No"
"25","NF008D0450",8,1,8,"N","8","450",-8,"No","Yes"
"25","ZF008D0450",9,2,1,"Z","8","450",5,"No","Yes"
"25","ZF024D0450",10,2,2,"Z","24","450",3,"No","No"
"25","ZF072D0150",11,2,3,"Z","72","150",-3,"Yes","Yes"
"25","ZF024D1350",12,2,4,"Z","24","1350",-2,"Yes","No"
